,nm,mu_a(/m)
0,429,8.28
1,430,8.216
2,431,8.158
3,432,8.069
4,433,7.927
5,434,7.832
6,435,7.721
7,436,7.652
8,437,7.623
9,438,7.56
10,439,7.474
11,440,7.383
12,441,7.244
13,442,7.104
14,443,7.0
15,444,6.899
16,445,6.811
17,446,6.729
18,447,6.659
19,448,6.571
20,449,6.464
21,450,6.375
22,451,6.291
23,452,6.21
24,453,6.135
25,454,6.049
26,455,5.95
27,456,5.837
28,457,5.751
29,458,5.663
30,459,5.593
31,460,5.523
32,461,5.413
33,462,5.288
34,463,5.144
35,464,4.985
36,465,4.846
37,466,4.72
38,467,4.594
39,468,4.513
40,469,4.434
41,470,4.327
42,471,4.208
43,472,4.084
44,473,3.961
45,474,3.843
46,475,3.732
47,476,3.635
48,477,3.534
49,478,3.452
50,479,3.386
51,480,3.315
52,481,3.261
53,482,3.192
54,483,3.109
55,484,3.013
56,485,2.919
57,486,2.832
58,487,2.75
59,488,2.676
60,489,2.597
61,490,2.515
62,491,2.437
63,492,2.368
64,493,2.298
65,494,2.25
66,495,2.193
67,496,2.124
68,497,2.06
69,498,1.998
70,499,1.942
71,500,1.906
72,501,1.875
73,502,1.828
74,503,1.776
75,504,1.724
76,505,1.683
77,506,1.648
78,507,1.62
79,508,1.576
80,509,1.534
81,510,1.501
82,511,1.475
83,512,1.457
84,513,1.432
85,514,1.403
86,515,1.368
87,516,1.33
88,517,1.298
89,518,1.27
90,519,1.246
91,520,1.231
92,521,1.211
93,522,1.189
94,523,1.165
95,524,1.145
96,525,1.132
97,526,1.113
98,527,1.091
99,528,1.064
100,529,1.042
101,530,1.031
102,531,1.017
103,532,1.002
104,533,0.991
105,534,0.984
106,535,0.978
107,536,0.97
108,537,0.951
109,538,0.929
110,539,0.913
111,540,0.896
112,541,0.88
113,542,0.864
114,543,0.849
115,544,0.84
116,545,0.833
117,546,0.828
118,547,0.822
119,548,0.805
120,549,0.785
121,550,0.773
122,551,0.763
123,552,0.76
124,553,0.757
125,554,0.746
126,555,0.733
127,556,0.724
128,557,0.718
129,558,0.71
130,559,0.704
131,560,0.698
132,561,0.69
133,562,0.682
134,563,0.673
135,564,0.662
136,565,0.653
137,566,0.647
138,567,0.641
139,568,0.636
140,569,0.63
141,570,0.629
142,571,0.633
143,572,0.639
144,573,0.632
145,574,0.613
146,575,0.589
147,576,0.573
148,577,0.562
149,578,0.563
150,579,0.566
151,580,0.566
152,581,0.564
153,582,0.562
154,583,0.562
155,584,0.557
156,585,0.548
157,586,0.541
158,587,0.53
159,588,0.52
160,589,0.512
161,590,0.502
162,591,0.493
163,592,0.488
164,593,0.485
165,594,0.486
166,595,0.487
167,596,0.479
168,597,0.472
169,598,0.467
170,599,0.462
171,600,0.466
172,601,0.471
173,602,0.479
174,603,0.487
175,604,0.487
176,605,0.484
177,606,0.48
178,607,0.475
179,608,0.47
180,609,0.469
181,610,0.464
182,611,0.458
183,612,0.454
184,613,0.442
185,614,0.427
186,615,0.422
187,616,0.423
188,617,0.43
189,618,0.437
190,619,0.435
191,620,0.43
192,621,0.425
193,622,0.433
194,623,0.44
195,624,0.438
196,625,0.432
197,626,0.426
198,627,0.424
199,628,0.426
200,629,0.428
201,630,0.428
202,631,0.429
203,632,0.437
204,633,0.444
205,634,0.44
206,635,0.431
207,636,0.42
208,637,0.422
209,638,0.433
210,639,0.446
211,640,0.452
212,641,0.45
213,642,0.449
214,643,0.453
215,644,0.46
216,645,0.465
217,646,0.464
218,647,0.464
219,648,0.464
220,649,0.465
221,650,0.471
222,651,0.472
223,652,0.467
224,653,0.464
225,654,0.457
226,655,0.448
227,656,0.438
228,657,0.428
229,658,0.424
230,659,0.422
231,660,0.418
232,661,0.414
233,662,0.413
234,663,0.414
235,664,0.419
236,665,0.428
237,666,0.439
238,667,0.447
239,668,0.452
240,669,0.453
241,670,0.45
242,671,0.452
243,672,0.457
244,673,0.462
245,674,0.463
246,675,0.457
247,676,0.446
248,677,0.433
249,678,0.422
250,679,0.413
251,680,0.406
252,681,0.398
253,682,0.387
254,683,0.375
255,684,0.37
256,685,0.369
257,686,0.366
258,687,0.361
259,688,0.354
260,689,0.348
261,690,0.342
262,691,0.338
263,692,0.335
264,693,0.331
265,694,0.328
266,695,0.324
267,696,0.321
268,697,0.324
269,698,0.327
270,699,0.325
271,700,0.323
272,701,0.32
273,702,0.319
274,703,0.322
275,704,0.326
276,705,0.323
277,706,0.318
278,707,0.313
279,708,0.31
280,709,0.311
281,710,0.315
282,711,0.32
283,712,0.321
284,713,0.32
285,714,0.321
286,715,0.326
287,716,0.334
288,717,0.343
289,718,0.351
290,719,0.358
291,720,0.367
292,721,0.376
293,722,0.383
294,723,0.39
295,724,0.401
296,725,0.415
297,726,0.43
298,727,0.447
299,728,0.463
300,729,0.48
301,730,0.499
302,731,0.516
303,732,0.535
304,733,0.552
305,734,0.564
306,735,0.576
307,736,0.589
308,737,0.6
309,738,0.616
310,739,0.636
311,740,0.654
312,741,0.68
313,742,0.707
314,743,0.735
315,744,0.768
316,745,0.801
317,746,0.837
318,747,0.874
319,748,0.908
320,749,0.941
321,750,0.972
322,751,1.001
323,752,1.03
324,753,1.059
325,754,1.089
326,755,1.12
327,756,1.155
328,757,1.19
329,758,1.227
330,759,1.258
331,760,1.278
332,761,1.289
333,762,1.29
334,763,1.273
335,764,1.249
336,765,1.206
337,766,1.153
338,767,1.089
339,768,1.021
340,769,0.948
341,770,0.871
342,771,0.793
343,772,0.719
344,773,0.653
345,774,0.596
346,775,0.553
347,776,0.515
348,777,0.481
349,778,0.451
350,779,0.426
351,780,0.409
352,781,0.391
353,782,0.378
354,783,0.366
355,784,0.36
356,785,0.357
357,786,0.355
358,787,0.353
359,788,0.349
360,789,0.346
361,790,0.346
362,791,0.347
363,792,0.347
364,793,0.347
365,794,0.352
366,795,0.359
367,796,0.369
368,797,0.379
369,798,0.387
370,799,0.393
371,800,0.403
372,801,0.413
373,802,0.424
374,803,0.434
375,804,0.442
376,805,0.454
377,806,0.467
378,807,0.482
379,808,0.497
380,809,0.511
