,Wavelength (nm),Absorption (/cm)
0,300,0.000382
1,301,0.0003715
2,302,0.000361
3,303,0.00035099999999999997
4,304,0.000341
5,305,0.000332
6,306,0.000323
7,307,0.000314
8,308,0.000305
9,309,0.0002965
10,310,0.000288
11,311,0.00028
12,312,0.000272
13,313,0.0002645
14,314,0.000257
15,315,0.0002495
16,316,0.000242
17,317,0.00023500000000000002
18,318,0.000228
19,319,0.00022150000000000002
20,320,0.000215
21,321,0.00020899999999999998
22,322,0.000203
23,323,0.00019700000000000002
24,324,0.000191
25,325,0.0001855
26,326,0.00018
27,327,0.00017500000000000003
28,328,0.00017
29,329,0.000165
30,330,0.00016
31,331,0.0001555
32,332,0.000151
33,333,0.0001465
34,334,0.000142
35,335,0.000138
36,336,0.000134
37,337,0.0001305
38,338,0.000127
39,339,0.000123
40,340,0.000119
41,341,0.000116
42,342,0.000113
43,343,0.00010999999999999999
44,344,0.000107
45,345,0.00010400000000000001
46,346,0.000101
47,347,9.850000000000001e-05
48,348,9.6e-05
49,349,9.35e-05
50,350,9.1e-05
51,351,8.850000000000001e-05
52,352,8.6e-05
53,353,8.400000000000001e-05
54,354,8.2e-05
55,355,7.999999999999999e-05
56,356,7.8e-05
57,357,7.649999999999999e-05
58,358,7.5e-05
59,359,7.3e-05
60,360,7.1e-05
61,361,7e-05
62,362,6.9e-05
63,363,6.75e-05
64,364,6.6e-05
65,365,6.500000000000001e-05
66,366,6.4e-05
67,367,6.3e-05
68,368,6.2e-05
69,369,6.1000000000000005e-05
70,370,6e-05
71,371,5.9e-05
72,372,5.8e-05
73,373,5.75e-05
74,374,5.7e-05
75,375,5.6500000000000005e-05
76,376,5.6e-05
77,377,5.55e-05
78,378,5.5e-05
79,379,5.4499999999999997e-05
80,380,5.4e-05
81,381,5.4e-05
82,382,5.4e-05
83,383,5.35e-05
84,384,5.3e-05
85,385,5.3e-05
86,386,5.3e-05
87,387,5.3e-05
88,388,5.3e-05
89,389,5.35e-05
90,390,5.4e-05
91,391,5.4e-05
92,392,5.4e-05
93,393,5.4e-05
94,394,5.4e-05
95,395,5.4499999999999997e-05
96,396,5.5e-05
97,397,5.55e-05
98,398,5.6e-05
99,399,5.7e-05
100,400,5.8e-05
101,401,5.85e-05
102,402,5.9e-05
103,403,5.9999999999999995e-05
104,404,6.1e-05
105,405,6.2e-05
106,406,6.3e-05
107,407,6.4e-05
108,408,6.5e-05
109,409,6.6e-05
110,410,6.7e-05
111,411,6.8e-05
112,412,6.9e-05
113,413,7.05e-05
114,414,7.2e-05
